Index,Species,Bin,ef
131,HC,12,0.028399527
131,HC,13,0.03043679
131,HC,14,0.030876555
131,HC,15,0.03102139
131,HC,16,0.033519078
131,HC,17,0.034227749
131,HC,18,0.047041874
131,HC,19,0.041701099
131,HC,2,0.007963693
131,HC,20,0.037699728
131,HC,21,0.03921773
131,HC,22,0.032398969
131,HC,23,0.038463781
131,HC,3,0.016480444
131,HC,4,0.01871164
131,HC,5,0.021176605
131,HC,6,0.024815538
131,HC,7,0.028572652
131,HC,8,0.030242893
131,HC,9,0.01766446
131,NOx,1,0.021165522
131,NOx,10,0.087009115
131,NOx,11,0.105678537
131,NOx,12,0.115353271
131,NOx,13,0.13319735
131,NOx,14,0.156797362
131,NOx,15,0.18434827
131,NOx,16,0.213759435
131,NOx,17,0.126841231
131,NOx,18,0.37495843
131,NOx,19,0.254924095
131,NOx,2,0.017215688
131,NOx,20,0.247953098
131,NOx,21,0.288490116
131,NOx,22,0.103036666
131,NOx,23,0.099776602
131,NOx,3,0.040989497
131,NOx,4,0.056130502
131,NOx,5,0.066181371
131,NOx,6,0.083003149
131,NOx,7,0.112340459
131,NOx,8,0.12982859
131,NOx,9,0.049887119
131,PM2.5,1,0.000936952
131,PM2.5,10,0.002623572
131,PM2.5,11,0.003180624
131,PM2.5,12,0.003566453
131,PM2.5,13,0.004403153
131,PM2.5,14,0.006689997
131,PM2.5,15,0.009256813
131,PM2.5,16,0.011482244
131,PM2.5,17,0.010710584
131,PM2.5,18,0.007901061
131,PM2.5,19,0.012088889
131,PM2.5,2,0.000663599
131,PM2.5,20,0.022478257
131,PM2.5,21,0.019067947
131,PM2.5,22,0.020881893
131,PM2.5,23,0.04401083
131,PM2.5,3,0.001311169
131,PM2.5,4,0.00168191
131,PM2.5,5,0.002158707
131,PM2.5,6,0.003078274
131,PM2.5,7,0.005265991
131,PM2.5,8,0.007243015
131,PM2.5,9,0.002115154
132,CO,1,0.004403989
132,CO,10,0.011391884
132,CO,11,0.012494718
132,CO,12,0.014391217
132,CO,13,0.015678512
132,CO,14,0.019860458
132,CO,15,0.025711606
132,CO,16,0.02594218
132,CO,17,0.020449951
132,CO,18,0.023756467
132,CO,19,0.022854762
132,CO,2,0.00605212
132,CO,20,0.034203447
132,CO,21,0.030447989
132,CO,22,0.043641459
132,CO,23,0.035693493
132,CO,3,0.009162748
132,CO,4,0.011780471
132,CO,5,0.012689675
132,CO,6,0.015187045
132,CO,7,0.017670923
132,CO,8,0.024670855
132,CO,9,0.008063752
132,HC,1,0.005628741
132,HC,10,0.013085905
132,HC,11,0.01473565
132,HC,12,0.016463494
132,HC,13,0.017644516
132,HC,14,0.017899452
132,HC,15,0.017983415
132,HC,16,0.01943135
132,HC,17,0.019842174
132,HC,18,0.027270652
132,HC,19,0.02417455
132,HC,2,0.004616634
132,HC,20,0.021854915
132,HC,21,0.022734916
132,HC,22,0.018782011
132,HC,23,0.022297844
132,HC,3,0.009553881
132,HC,4,0.010847328
132,HC,5,0.012276293
132,HC,6,0.014385819
132,HC,7,0.016563856
132,HC,8,0.017532112
132,HC,9,0.010240267
132,NOx,1,0.017512488
132,NOx,10,0.071991899
132,NOx,11,0.087439099
132,NOx,12,0.095444035
132,NOx,13,0.11020834
132,NOx,14,0.129735141
132,NOx,15,0.152530939
132,NOx,16,0.176865926
132,NOx,17,0.104949247
132,NOx,18,0.310243006
132,NOx,19,0.210925828
132,NOx,2,0.014244371
132,NOx,20,0.205157981
132,NOx,21,0.23869857
132,NOx,22,0.085253198
132,NOx,23,0.082555799
132,NOx,3,0.033914972
132,NOx,4,0.046442736
132,NOx,5,0.05475889
132,NOx,6,0.068677337
132,NOx,7,0.092951215
132,NOx,8,0.107421007
132,NOx,9,0.041276921
132,PM2.5,1,0.000754976
132,PM2.5,10,0.002114018
132,PM2.5,11,0.002562878
132,PM2.5,12,0.002873771
132,PM2.5,13,0.003547966
132,PM2.5,14,0.005390656
132,PM2.5,15,0.007458941
